Item ID,Sentiment,SentimentText,Cleaned_Text,Keywords,Category,Department
612,7,@drmumb @RailMinIndia @KaliaAjit @IR_ENHM Sir message given to SSE/UMB and matter forwarded to @SrDmeChg_Dli @DelhiCcc,sir message given sseumb matter forwarded,sir,Cleanliness Issues,Housekeeping Department
614,7,@SumitSi25004636 Kindly share your PNR NO,kindly share pnr,pnr,Cleanliness Issues,Housekeeping Department
5,7,@DRMbhopal @RailMinIndia @sanjaygupta2012 @drmncrald Matter notified to concerned official @BhusavalDivn,matter notified concerned official,,Cleanliness Issues,Housekeeping Department
1303,7,RT @IAmKalpeshBohra: @rpfwrbct @rpfwr1 @kalpeshcynic @RPFMumbaiCntrl @RailMinIndia @MCGM_BMC @GM_CRly @Gmwrly @drmbct @drmmumbaicrâ¦ ,rt,rt,Cleanliness Issues,Housekeeping Department
603,7,@RailMinIndia @WWarghade Matter brought to notice of concerned official. @srdencomumbaicr @srdstecobbcr,matter brought notice concerned official,,Cleanliness Issues,Housekeeping Department
1318,7,@sureshpprabhu @RailMinIndia @drmdelhi Please direct the concerned. Plz plz plz plz plz plz,please direct concerned plz plz plz plz plz plz,"please, plz",Cleanliness Issues,Housekeeping Department
1321,7,@RailMinIndia  sorry for delayMy contact no 8275595956Pnr 8647217391,sorry delaymy contact pnr,pnr,Train Delays & Cancellations,Operations Control
1329,7,"@RailMinIndia @MiniAgrawal6 Sir, thanks for calling us.",sir thanks calling u,sir,Cleanliness Issues,Housekeeping Department
30,7,@RailMinIndia @vivek05102229 Kindly share PNR number &amp; contact number.,kindly share pnr number amp contact number,"amp, pnr",Cleanliness Issues,Housekeeping Department
987,7,"RT @DRMbhopal: @RailMinIndia @sanjaygupta2012 Train already departed Itarsi , Matter forwarded to concerned @BhusavalDivn",rt train already departed itarsi matter forwarded concerned,"rt, train",Cleanliness Issues,Housekeeping Department
570,7,"@sanjaygupta2012 @DRMbhopal @RailMinIndia sorry for inconvenience,matter noted to @OPTGBSL",sorry inconveniencematter noted,,Cleanliness Issues,Housekeeping Department
572,7,RT @RailMinIndia: @anshumantiwar10  Please share your PNR no.,rt please share pnr,"please, pnr, rt",Cleanliness Issues,Housekeeping Department
578,7,"@AirAsiaSupport I am scheduled to fly to CCU from KL tomorrow (PNR WERKXB), got an email saying my flight has beenâ¦ https://t.co/tx0F2YEthX",scheduled fly ccu kl tomorrow pnr werkxb got email saying flight,pnr,Train Delays & Cancellations,Operations Control
